Name,Nodes,Features,Configs,PresentConfigs,Mode,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
/mnt/f/code/busybox-1.31.1/console-tools/fgconsole.cfg,113,3,8,4,brute-force,6.51E-05,6.47E-05,6.57E-05,1.54E-06,1.07E-06,2.37E-06
/mnt/f/code/busybox-1.31.1/console-tools/fgconsole.cfg,113,3,8,4,shallow,2.40E-05,2.38E-05,2.45E-05,9.70E-07,4.98E-07,1.83E-06
/mnt/f/code/busybox-1.31.1/console-tools/fgconsole.cfg,113,3,8,4,deep,1.57E-04,1.56E-04,1.58E-04,3.47E-06,2.20E-06,6.00E-06
/mnt/f/code/busybox-1.31.1/console-tools/kbd_mode.cfg,145,4,16,8,brute-force,1.64E-04,1.63E-04,1.65E-04,2.30E-06,1.74E-06,3.68E-06
/mnt/f/code/busybox-1.31.1/console-tools/kbd_mode.cfg,145,4,16,8,shallow,6.05E-05,6.03E-05,6.07E-05,6.40E-07,4.64E-07,9.25E-07
/mnt/f/code/busybox-1.31.1/console-tools/kbd_mode.cfg,145,4,16,8,deep,2.04E-04,2.02E-04,2.08E-04,8.04E-06,4.97E-06,1.63E-05
/mnt/f/code/busybox-1.31.1/console-tools/loadfont.cfg,357,14,16384,320,brute-force,1.006039604,0.970345313,1.031784837,3.68E-02,1.88E-02,4.73E-02
/mnt/f/code/busybox-1.31.1/console-tools/loadfont.cfg,357,14,16384,320,shallow,5.81E-03,5.77E-03,5.85E-03,1.33E-04,9.78E-05,1.92E-04
/mnt/f/code/busybox-1.31.1/console-tools/loadfont.cfg,357,14,16384,320,deep,6.86E-04,6.76E-04,6.99E-04,3.72E-05,2.65E-05,4.87E-05
/mnt/f/code/busybox-1.31.1/console-tools/loadkmap.cfg,118,4,16,6,brute-force,1.40E-04,1.38E-04,1.42E-04,6.18E-06,3.97E-06,9.11E-06
/mnt/f/code/busybox-1.31.1/console-tools/loadkmap.cfg,118,4,16,6,shallow,3.75E-05,3.74E-05,3.78E-05,6.25E-07,4.60E-07,1.01E-06
/mnt/f/code/busybox-1.31.1/console-tools/loadkmap.cfg,118,4,16,6,deep,1.63E-04,1.62E-04,1.64E-04,3.51E-06,2.60E-06,5.62E-06
/mnt/f/code/busybox-1.31.1/console-tools/openvt.cfg,164,4,16,8,brute-force,1.80E-04,1.79E-04,1.81E-04,3.63E-06,2.83E-06,4.73E-06
/mnt/f/code/busybox-1.31.1/console-tools/openvt.cfg,164,4,16,8,shallow,6.87E-05,6.84E-05,6.95E-05,1.64E-06,1.06E-06,2.69E-06
/mnt/f/code/busybox-1.31.1/console-tools/openvt.cfg,164,4,16,8,deep,2.30E-04,2.28E-04,2.34E-04,8.08E-06,4.77E-06,1.36E-05
/mnt/f/code/busybox-1.31.1/console-tools/reset.cfg,105,2,4,2,brute-force,2.89E-05,2.86E-05,2.94E-05,1.28E-06,4.73E-07,2.36E-06
/mnt/f/code/busybox-1.31.1/console-tools/reset.cfg,105,2,4,2,shallow,1.08E-05,1.08E-05,1.10E-05,3.30E-07,2.05E-07,5.30E-07
/mnt/f/code/busybox-1.31.1/console-tools/reset.cfg,105,2,4,2,deep,1.42E-04,1.41E-04,1.43E-04,2.51E-06,1.68E-06,4.47E-06
/mnt/f/code/busybox-1.31.1/console-tools/setconsole.cfg,118,3,8,4,brute-force,6.60E-05,6.57E-05,6.62E-05,8.20E-07,6.52E-07,1.14E-06
/mnt/f/code/busybox-1.31.1/console-tools/setconsole.cfg,118,3,8,4,shallow,2.48E-05,2.46E-05,2.51E-05,8.03E-07,5.98E-07,1.05E-06
/mnt/f/code/busybox-1.31.1/console-tools/setconsole.cfg,118,3,8,4,deep,1.62E-04,1.61E-04,1.65E-04,5.91E-06,2.62E-06,1.21E-05
/mnt/f/code/busybox-1.31.1/console-tools/setkeycodes.cfg,123,2,4,2,brute-force,3.27E-05,3.25E-05,3.30E-05,8.16E-07,6.04E-07,1.05E-06
/mnt/f/code/busybox-1.31.1/console-tools/setkeycodes.cfg,123,2,4,2,shallow,1.29E-05,1.28E-05,1.30E-05,3.03E-07,2.04E-07,5.20E-07
/mnt/f/code/busybox-1.31.1/console-tools/setkeycodes.cfg,123,2,4,2,deep,1.66E-04,1.65E-04,1.67E-04,2.56E-06,1.82E-06,3.63E-06
/mnt/f/code/busybox-1.31.1/console-tools/setlogcons.cfg,116,3,8,4,brute-force,6.61E-05,6.58E-05,6.64E-05,1.02E-06,8.17E-07,1.30E-06
/mnt/f/code/busybox-1.31.1/console-tools/setlogcons.cfg,116,3,8,4,shallow,2.46E-05,2.43E-05,2.55E-05,1.30E-06,5.82E-07,2.79E-06
/mnt/f/code/busybox-1.31.1/console-tools/setlogcons.cfg,116,3,8,4,deep,1.69E-04,1.65E-04,1.76E-04,1.86E-05,1.36E-05,2.67E-05
/mnt/f/code/busybox-1.31.1/console-tools/showkey.cfg,137,3,8,4,brute-force,7.60E-05,7.51E-05,7.70E-05,3.02E-06,2.16E-06,4.81E-06
/mnt/f/code/busybox-1.31.1/console-tools/showkey.cfg,137,3,8,4,shallow,2.86E-05,2.85E-05,2.88E-05,4.30E-07,3.51E-07,5.74E-07
/mnt/f/code/busybox-1.31.1/console-tools/showkey.cfg,137,3,8,4,deep,1.93E-04,1.92E-04,1.95E-04,3.70E-06,2.85E-06,5.21E-06
/mnt/f/code/busybox-1.31.1/coreutils/basename.cfg,106,2,4,2,brute-force,2.85E-05,2.84E-05,2.89E-05,7.83E-07,4.42E-07,1.40E-06
/mnt/f/code/busybox-1.31.1/coreutils/basename.cfg,106,2,4,2,shallow,1.12E-05,1.10E-05,1.16E-05,9.91E-07,4.48E-07,1.71E-06
/mnt/f/code/busybox-1.31.1/coreutils/basename.cfg,106,2,4,2,deep,1.42E-04,1.42E-04,1.43E-04,2.36E-06,1.77E-06,3.10E-06
